text	result	texPattern	valuePattern	form
the summer of 69	2169-SU	the SEASON:$1 of NUM:$0	Action:BasicModify Value:$0 TimeUnit:Year TimeUnit:Century Action:Modify* Enum:$1	POINT
early winter 01	2101-WI	PART_WORD SEASON:$1 NUM:$0	Action:BasicModify Value:$0 TimeUnit:Year TimeUnit:Century Action:Modify* Enum:$1	POINT
early summer of 69	2169-SU	PART_WORD SEASON:$1 of NUM:$0	Action:BasicModify Value:$0 TimeUnit:Year TimeUnit:Century Action:Modify* Enum:$1	POINT
###	part of year granularity
###	date_r10
the third quarter of 2001	2001-Q3	the ORD:$1 TIME_UNIT:$2 of YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:BasicModify Value:$1 TimeUnit:$2	POINT
the third quarter 2001	2001-Q3	the ORD:$1 TIME_UNIT:$2 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:BasicModify Value:$1 TimeUnit:$2	POINT
third quarter of 2001	2001-Q3	ORD:$1 TIME_UNIT:$2 of YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:BasicModify Value:$1 TimeUnit:$2	POINT
third quarter 2001	2001-Q3	ORD:$1 TIME_UNIT:$2 YEAR:$0	Action:BasicModify Value:$0 TimeUnit:Year Action:BasicModify Value:$1 TimeUnit:$2	POINT
second half	2121-H2	ORD:$0 TIME_UNIT:$1	Action:BasicModify Value:$0 TimeUnit:$1	POINT
the second quarter	2121-Q2	the ORD:$0 TIME_UNIT:$1	Action:BasicModify Value:$0 TimeUnit:$1	POINT
the 2001 third quarter	2001-Q3	the YEAR:$0 ORD:$1 TIME_UNIT:$2	Action:BasicModify Value:$0 TimeUnit:Year Action:BasicModify Value:$1 TimeUnit:$2	POINT
2001 third quarter	2001-Q3	YEAR:$0 ORD:$1 TIME_UNIT:$2	Action:BasicModify Value:$0 TimeUnit:Year Action:BasicModify Value:$1 TimeUnit:$2	POINT
###	date_r11
